ID,startDate,endDate,customer_ID,car_licensePlate
"11111111-1111-1111-1111-111111111111","2025-01-01","2025-01-05","Cust001","CAR-1001"
"22222222-2222-2222-2222-222222222222","2025-01-10","2025-01-14","Cust002","CAR-1002"
"33333333-3333-3333-3333-333333333333","2025-01-20","2025-01-23","Cust003","CAR-1003"
"44444444-4444-4444-4444-444444444444","2025-02-01","2025-02-05","Cust004","CAR-1004"
"55555555-5555-5555-5555-555555555555","2025-02-10","2025-02-13","Cust005","CAR-1005"
"66666666-6666-6666-6666-666666666666","2025-02-20","2025-02-24","Cust006","CAR-1006"
"77777777-7777-7777-7777-777777777777","2025-03-01","2025-03-04","Cust007","CAR-1007"
"88888888-8888-8888-8888-888888888888","2025-03-10","2025-03-14","Cust008","CAR-1008"
"99999999-9999-9999-9999-999999999999","2025-03-20","2025-03-24","Cust009","CAR-1001"
"aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1","2025-03-28","2025-03-30","Cust010","CAR-1002"
"bbbbbbb2-bbbb-bbbb-bbbb-bbbbbbbbbbb2","2025-04-01","2025-04-05","Cust001","CAR-1003"
"ccccccc3-cccc-cccc-cccc-ccccccccccc3","2025-04-07","2025-04-10","Cust002","CAR-1004"
"ddddddd4-dddd-dddd-dddd-ddddddddddd4","2025-04-15","2025-04-18","Cust003","CAR-1005"
"eeeeeee5-eeee-eeee-eeee-eeeeeeeeeee5","2025-04-20","2025-04-23","Cust004","CAR-1006"
"fffffff6-ffff-ffff-ffff-fffffffffff6","2025-04-27","2025-04-30","Cust005","CAR-1007"
"1111aaa1-aaaa-1111-aaaa-1111aaaa1111","2025-05-02","2025-05-05","Cust006","CAR-1008"
"2222bbb2-bbbb-2222-bbbb-2222bbbb2222","2025-05-08","2025-05-12","Cust007","CAR-1001"
"3333ccc3-cccc-3333-cccc-3333cccc3333","2025-05-15","2025-05-18","Cust008","CAR-1002"
"4444ddd4-dddd-4444-dddd-4444dddd4444","2025-05-20","2025-05-24","Cust009","CAR-1003"
"5555eee5-eeee-5555-eeee-5555eeee5555","2025-05-28","2025-05-30","Cust010","CAR-1004"
